Feature Carried Condition Correlation:
90IX: Total: 119, Poor: 15, Poor %: 12.61%
FORDLEA ROAD: Total: 1, Poor: 0, Poor %: 0.00%
GOODRIDGE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
LANGLITZ ROAD: Total: 1, Poor: 0, Poor %: 0.00%
LOWER ROAD: Total: 1, Poor: 0, Poor %: 0.00%
MANDY'S ROAD: Total: 1, Poor: 0, Poor %: 0.00%
MILLSBURG ROAD: Total: 1, Poor: 0, Poor %: 0.00%
PINE ISLAND TPKE: Total: 1, Poor: 0, Poor %: 0.00%
PINE ISLAND TRNPK: Total: 1, Poor: 0, Poor %: 0.00%
RIDGEBURY ROAD: Total: 1, Poor: 0, Poor %: 0.00%
SOUTH CENTERVILLE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
SOUTH PLANK ROAD: Total: 1, Poor: 0, Poor %: 0.00%
WATERLOO ROAD: Total: 1, Poor: 0, Poor %: 0.00%
208 208 83011059: Total: 1, Poor: 0, Poor %: 0.00%
6  17 83101220: Total: 1, Poor: 0, Poor %: 0.00%
6  17 83101237: Total: 1, Poor: 0, Poor %: 0.00%
17K 17K83011106: Total: 1, Poor: 0, Poor %: 0.00%
17K 17K83011132: Total: 1, Poor: 0, Poor %: 0.00%
208 208 83011206: Total: 1, Poor: 0, Poor %: 0.00%
211 211 83013083: Total: 1, Poor: 0, Poor %: 0.00%
52  52 83031093: Total: 1, Poor: 0, Poor %: 0.00%
52  52 83031103: Total: 1, Poor: 0, Poor %: 0.00%
52  52 83031104: Total: 1, Poor: 0, Poor %: 0.00%
84I 84I 8301 1262 EB: Total: 1, Poor: 0, Poor %: 0.00%
84I 84I 8301 1262 WB: Total: 1, Poor: 0, Poor %: 0.00%
FLEURY ROAD: Total: 1, Poor: 1, Poor %: 100.00%
CARBOY ROAD: Total: 1, Poor: 1, Poor %: 100.00%
KOHLER ROAD: Total: 1, Poor: 0, Poor %: 0.00%
SHODDY HOLLOW RD: Total: 1, Poor: 0, Poor %: 0.00%
SPRUCE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
32 X
 32 32 83012001
32  32 83012001: Total: 1, Poor: 1, Poor %: 100.00%
CARPENTER AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
DUPONT AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
LITTLE BRITAIN RD: Total: 1, Poor: 0, Poor %: 0.00%
NY 32, Lake St: Total: 1, Poor: 0, Poor %: 0.00%
WALSH ROAD: Total: 1, Poor: 1, Poor %: 100.00%
WISNER AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
17K 17K83011207: Total: 1, Poor: 0, Poor %: 0.00%
300 300 83021024: Total: 1, Poor: 0, Poor %: 0.00%
300 300 83021064: Total: 1, Poor: 0, Poor %: 0.00%
300 300 83021078: Total: 1, Poor: 0, Poor %: 0.00%
52  52 83031159: Total: 1, Poor: 0, Poor %: 0.00%
52  52 83031163: Total: 1, Poor: 1, Poor %: 100.00%
747 8301 1024: Total: 1, Poor: 0, Poor %: 0.00%
84I 84I13011376: Total: 1, Poor: 0, Poor %: 0.00%
84I 84I83011371: Total: 1, Poor: 0, Poor %: 0.00%
84I 84I83011376: Total: 1, Poor: 0, Poor %: 0.00%
84I  84I83013007: Total: 1, Poor: 0, Poor %: 0.00%
BALMVILLE RD: Total: 1, Poor: 0, Poor %: 0.00%
BROOKSIDE FARM RD: Total: 1, Poor: 0, Poor %: 0.00%
EXIT 17 EZ PASS RAMP: Total: 1, Poor: 0, Poor %: 0.00%
FLETCHER DRIVE NO: Total: 1, Poor: 0, Poor %: 0.00%
FOSTERTOWN RD: Total: 1, Poor: 0, Poor %: 0.00%
GARDNERTOWN ROAD: Total: 1, Poor: 0, Poor %: 0.00%
GIDNEY AVENUE: Total: 1, Poor: 1, Poor %: 100.00%
INNIS AVE: Total: 1, Poor: 0, Poor %: 0.00%
Interstate 84 West to Drury Lane: Total: 1, Poor: 0, Poor %: 0.00%
MEADOW HILL ROAD: Total: 1, Poor: 1, Poor %: 100.00%
NY-17K: Total: 1, Poor: 0, Poor %: 0.00%
NYS Route 300: Total: 1, Poor: 0, Poor %: 0.00%
OLD PLANK ROAD: Total: 1, Poor: 0, Poor %: 0.00%
POWDER MILL ROAD: Total: 1, Poor: 0, Poor %: 0.00%
Ramp 87I to Rt 300: Total: 1, Poor: 0, Poor %: 0.00%
RAMP B to 84I E: Total: 1, Poor: 0, Poor %: 0.00%
Ramp EB-NS: Total: 1, Poor: 0, Poor %: 0.00%
Ramp L-NS RTE 300: Total: 1, Poor: 0, Poor %: 0.00%
Ramp NS: Total: 1, Poor: 0, Poor %: 0.00%
Ramp NS-WB: Total: 1, Poor: 0, Poor %: 0.00%
Ramp WB-NS: Total: 1, Poor: 0, Poor %: 0.00%
SB INT 17 RAMP: Total: 1, Poor: 0, Poor %: 0.00%
UNION AVE: Total: 1, Poor: 0, Poor %: 0.00%
967  967 83011015: Total: 1, Poor: 1, Poor %: 100.00%
9W  9W83021138: Total: 1, Poor: 1, Poor %: 100.00%
9W  9W83021161: Total: 1, Poor: 0, Poor %: 0.00%
BLOOMING GROVE TP: Total: 1, Poor: 1, Poor %: 100.00%
BULL ROAD: Total: 1, Poor: 0, Poor %: 0.00%
FORGE HILL ROAD: Total: 1, Poor: 0, Poor %: 0.00%
MOORES HILL ROAD: Total: 1, Poor: 0, Poor %: 0.00%
PLUM POINT LANE: Total: 1, Poor: 0, Poor %: 0.00%
Stewart Boulevard: Total: 1, Poor: 0, Poor %: 0.00%
6 X: Total: 1, Poor: 1, Poor %: 100.00%
84I 84I83011001: Total: 1, Poor: 0, Poor %: 0.00%
GLASS STREET: Total: 1, Poor: 0, Poor %: 0.00%
ROUTE 6: Total: 1, Poor: 0, Poor %: 0.00%
SOUTH MAPLE AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
87IX   (NB): Total: 1, Poor: 0, Poor %: 0.00%
87IX   (SB): Total: 1, Poor: 0, Poor %: 0.00%
ARDEN ROAD: Total: 1, Poor: 0, Poor %: 0.00%
ARDEN VALLEY RD: Total: 1, Poor: 0, Poor %: 0.00%
KANAWAUKE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
LAKE KANAWAUKE RD: Total: 1, Poor: 0, Poor %: 0.00%
STERLING LAKE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
VILLAGE ROAD: Total: 1, Poor: 1, Poor %: 100.00%
208 208 83011240: Total: 1, Poor: 0, Poor %: 0.00%
52   52 83031073: Total: 1, Poor: 0, Poor %: 0.00%
52  52 83031080: Total: 1, Poor: 1, Poor %: 100.00%
52  52 83031099: Total: 1, Poor: 0, Poor %: 0.00%
17  17 83101004: Total: 1, Poor: 0, Poor %: 0.00%
17  17 8310 1074: Total: 1, Poor: 0, Poor %: 0.00%
17  17 83101076: Total: 1, Poor: 0, Poor %: 0.00%
17 17 83101079: Total: 1, Poor: 0, Poor %: 0.00%
17  17 83101083: Total: 1, Poor: 0, Poor %: 0.00%
17   17 83101091: Total: 1, Poor: 0, Poor %: 0.00%
17K 17K83011006: Total: 1, Poor: 0, Poor %: 0.00%
17M 17M83011018: Total: 1, Poor: 0, Poor %: 0.00%
211 211 83013009: Total: 1, Poor: 0, Poor %: 0.00%
211 211 83013013: Total: 1, Poor: 0, Poor %: 0.00%
211 211 83013040: Total: 1, Poor: 0, Poor %: 0.00%
302 302 83011006: Total: 1, Poor: 0, Poor %: 0.00%
84I 84I83011185: Total: 1, Poor: 0, Poor %: 0.00%
84I  84I830217: Total: 1, Poor: 0, Poor %: 0.00%
84I  84I83 21.6: Total: 1, Poor: 0, Poor %: 0.00%
BART BULL ROAD: Total: 1, Poor: 0, Poor %: 0.00%
BLOOMINGBURG ROAD: Total: 1, Poor: 0, Poor %: 0.00%
BOWSER  ROAD: Total: 1, Poor: 0, Poor %: 0.00%
BROLA ROAD: Total: 1, Poor: 1, Poor %: 100.00%
DERBY ROAD: Total: 1, Poor: 1, Poor %: 100.00%
East Main St: Total: 1, Poor: 0, Poor %: 0.00%
Gordon Road: Total: 1, Poor: 0, Poor %: 0.00%
GOSHEN TURNPIKE: Total: 1, Poor: 0, Poor %: 0.00%
INGRASSIA ROAD: Total: 1, Poor: 0, Poor %: 0.00%
MALTESE DRIVE: Total: 1, Poor: 0, Poor %: 0.00%
MAPLES ROAD: Total: 1, Poor: 0, Poor %: 0.00%
MIDWAY ROAD: Total: 1, Poor: 0, Poor %: 0.00%
NO GALLERIA DRIVE: Total: 1, Poor: 0, Poor %: 0.00%
Old East Main Street: Total: 1, Poor: 0, Poor %: 0.00%
Ramp D: Total: 1, Poor: 0, Poor %: 0.00%
Sands Rd: Total: 1, Poor: 0, Poor %: 0.00%
SCOTCHTOWN ROAD: Total: 1, Poor: 0, Poor %: 0.00%
STAGE  ROAD: Total: 1, Poor: 0, Poor %: 0.00%
YORK ROAD: Total: 1, Poor: 0, Poor %: 0.00%
17A 17A83011139: Total: 1, Poor: 1, Poor %: 100.00%
94  94 83011005: Total: 1, Poor: 1, Poor %: 100.00%
94  94 83011030: Total: 1, Poor: 0, Poor %: 0.00%
BAIRDS LANE: Total: 1, Poor: 0, Poor %: 0.00%
BIG ISLAND ROAD: Total: 1, Poor: 0, Poor %: 0.00%
CASCADE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
CASCADE  ROAD: Total: 1, Poor: 0, Poor %: 0.00%
JESSUP SWITCH RD: Total: 1, Poor: 1, Poor %: 100.00%
NEWPORT BRIDGE RD: Total: 1, Poor: 0, Poor %: 0.00%
OIL CITY ROAD: Total: 1, Poor: 0, Poor %: 0.00%
PELTON ROAD: Total: 1, Poor: 0, Poor %: 0.00%
PULASKI HIGHWAY: Total: 1, Poor: 0, Poor %: 0.00%
SANDFORDVILLE RD: Total: 1, Poor: 0, Poor %: 0.00%
STATE SCHOOL ROAD: Total: 1, Poor: 0, Poor %: 0.00%
WISNER ROAD: Total: 1, Poor: 0, Poor %: 0.00%
17A 17A83011104: Total: 1, Poor: 0, Poor %: 0.00%
BANK STREET: Total: 1, Poor: 1, Poor %: 100.00%
FORESTER AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
HOWE STREET: Total: 1, Poor: 0, Poor %: 0.00%
208 208 83011124: Total: 1, Poor: 0, Poor %: 0.00%
6   6 83012094: Total: 1, Poor: 0, Poor %: 0.00%
6   6 83012097: Total: 1, Poor: 0, Poor %: 0.00%
6   6 83012119: Total: 1, Poor: 0, Poor %: 0.00%
6   6 83012123: Total: 1, Poor: 0, Poor %: 0.00%
6   6 83012145: Total: 1, Poor: 0, Poor %: 0.00%
6   6 83012158: Total: 1, Poor: 0, Poor %: 0.00%
CARTER ROAD: Total: 1, Poor: 1, Poor %: 100.00%
DOLSONTOWN ROAD: Total: 1, Poor: 0, Poor %: 0.00%
LIMEKILN ROAD: Total: 1, Poor: 0, Poor %: 0.00%
MC MANUS ROAD: Total: 1, Poor: 0, Poor %: 0.00%
MCMANUS ROAD: Total: 1, Poor: 0, Poor %: 0.00%
MC VEIGH ROAD: Total: 1, Poor: 1, Poor %: 100.00%
MT. ORANGE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
SO CENTERVILLE RD: Total: 1, Poor: 0, Poor %: 0.00%
VETOSKY ROAD: Total: 1, Poor: 0, Poor %: 0.00%
32  32 83011042: Total: 1, Poor: 0, Poor %: 0.00%
32  32 83011050: Total: 1, Poor: 1, Poor %: 100.00%
6   6 83012337: Total: 1, Poor: 0, Poor %: 0.00%
6   6 83012339: Total: 1, Poor: 0, Poor %: 0.00%
6   6 83012348: Total: 1, Poor: 0, Poor %: 0.00%
6   6 83012374: Total: 1, Poor: 0, Poor %: 0.00%
6   6 83012379: Total: 1, Poor: 0, Poor %: 0.00%
87IX INT 16 RAMP: Total: 1, Poor: 0, Poor %: 0.00%
987E SEVEN LKS PK: Total: 1, Poor: 0, Poor %: 0.00%
ACCESS RAMP EX16N: Total: 1, Poor: 0, Poor %: 0.00%
ANTHONY WAYNE DR: Total: 1, Poor: 0, Poor %: 0.00%
ESTRADA RD: Total: 1, Poor: 0, Poor %: 0.00%
ESTRADA  ROAD: Total: 1, Poor: 0, Poor %: 0.00%
EX16 RMP TO I87SB: Total: 1, Poor: 0, Poor %: 0.00%
MINERAL SPRING RD: Total: 1, Poor: 0, Poor %: 0.00%
SILVERMINE ROAD: Total: 1, Poor: 1, Poor %: 100.00%
32 32083101001: Total: 1, Poor: 0, Poor %: 0.00%
New Vernon Road: Total: 1, Poor: 0, Poor %: 0.00%
ALLENS BRIDGE RD: Total: 1, Poor: 1, Poor %: 100.00%
EAGLE HBR-W BARRE: Total: 1, Poor: 0, Poor %: 0.00%
LATTINS FARM DRVE: Total: 1, Poor: 1, Poor %: 100.00%
W.COUNTY HOUSE RD: Total: 1, Poor: 0, Poor %: 0.00%
31  31 45021157: Total: 1, Poor: 0, Poor %: 0.00%
98  98 45041081: Total: 1, Poor: 0, Poor %: 0.00%
INGERSOLL STREET: Total: 1, Poor: 0, Poor %: 0.00%
GILLETTE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
OAK ORCHARD RD: Total: 1, Poor: 0, Poor %: 0.00%
18  18 45021104: Total: 1, Poor: 0, Poor %: 0.00%
18  18 45021143: Total: 1, Poor: 1, Poor %: 100.00%
18  18 45021153: Total: 1, Poor: 0, Poor %: 0.00%
18  18 45021177: Total: 1, Poor: 0, Poor %: 0.00%
18  18 45021183: Total: 1, Poor: 0, Poor %: 0.00%
279 279 45011037: Total: 1, Poor: 1, Poor %: 100.00%
279 279 45011056: Total: 1, Poor: 0, Poor %: 0.00%
98  98 45041129: Total: 1, Poor: 0, Poor %: 0.00%
98  98 45041143: Total: 1, Poor: 0, Poor %: 0.00%
98 X: Total: 1, Poor: 0, Poor %: 0.00%
EGL HBR-WATPRT RD: Total: 1, Poor: 0, Poor %: 0.00%
KENYONVILLE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
LAKESIDE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
SAWYER ROAD: Total: 1, Poor: 0, Poor %: 0.00%
WATERPORT CARLTON RD: Total: 1, Poor: 0, Poor %: 0.00%
WILSON ROAD: Total: 1, Poor: 0, Poor %: 0.00%
YATES CARLTON TLR: Total: 1, Poor: 0, Poor %: 0.00%
SOUTH HOLLEY ROAD: Total: 1, Poor: 0, Poor %: 0.00%
104 104 45021104: Total: 1, Poor: 0, Poor %: 0.00%
EAGLE HARBOR ROAD: Total: 1, Poor: 0, Poor %: 0.00%
EGL HBR WATERPORT: Total: 1, Poor: 0, Poor %: 0.00%
EGL HBR-WATERPORT: Total: 1, Poor: 0, Poor %: 0.00%
GAINES BASIN ROAD: Total: 1, Poor: 0, Poor %: 0.00%
KENT RD.CR 11: Total: 1, Poor: 0, Poor %: 0.00%
EAST AVE GULF RD: Total: 1, Poor: 0, Poor %: 0.00%
237 237 45021122: Total: 1, Poor: 0, Poor %: 0.00%
237 237 45021155: Total: 1, Poor: 0, Poor %: 0.00%
272 272 45011030: Total: 1, Poor: 0, Poor %: 0.00%
947A947A45011107: Total: 1, Poor: 0, Poor %: 0.00%
947A947A45011114: Total: 1, Poor: 0, Poor %: 0.00%
CARTON ROAD: Total: 1, Poor: 0, Poor %: 0.00%
KENDALL ROAD: Total: 1, Poor: 0, Poor %: 0.00%
LAKESHORE RD CR75: Total: 1, Poor: 0, Poor %: 0.00%
WOODCHUCK ALLEY: Total: 1, Poor: 0, Poor %: 0.00%
63  63 45051140: Total: 1, Poor: 0, Poor %: 0.00%
31  31 45021049: Total: 1, Poor: 0, Poor %: 0.00%
63  63 45051070: Total: 1, Poor: 0, Poor %: 0.00%
E OAK ORCHARD ST: Total: 1, Poor: 0, Poor %: 0.00%
GLENWOOD AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
104 104 45021216: Total: 1, Poor: 0, Poor %: 0.00%
237 237 45021082: Total: 1, Poor: 0, Poor %: 0.00%
237 237 45021103: Total: 1, Poor: 0, Poor %: 0.00%
31  31 45021239: Total: 1, Poor: 0, Poor %: 0.00%
387 387 45011006: Total: 1, Poor: 0, Poor %: 0.00%
BENNETTS CORS RD: Total: 1, Poor: 0, Poor %: 0.00%
HURD RD CR 42: Total: 1, Poor: 0, Poor %: 0.00%
MONROE-ORLEANS CO LINE RD: Total: 1, Poor: 0, Poor %: 0.00%
ORL MNROE C LN RD: Total: 1, Poor: 0, Poor %: 0.00%
104 104 45021003: Total: 1, Poor: 0, Poor %: 0.00%
104 104 45021071: Total: 1, Poor: 1, Poor %: 100.00%
31  31 45021081: Total: 1, Poor: 0, Poor %: 0.00%
31  31 45021083: Total: 1, Poor: 0, Poor %: 0.00%
31  31 45021088: Total: 1, Poor: 0, Poor %: 0.00%
BEALS ROAD: Total: 1, Poor: 0, Poor %: 0.00%
CULVERT ROAD: Total: 1, Poor: 0, Poor %: 0.00%
EAST SCOTT ROAD: Total: 1, Poor: 0, Poor %: 0.00%
PORTAGE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
SLADE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
31  31 45021016: Total: 1, Poor: 0, Poor %: 0.00%
31A 31A45011001: Total: 1, Poor: 0, Poor %: 0.00%
63  63 45051004: Total: 1, Poor: 0, Poor %: 0.00%
63  63 45051025: Total: 1, Poor: 0, Poor %: 0.00%
SANDERSON ROAD: Total: 1, Poor: 0, Poor %: 0.00%
18  18 45021030: Total: 1, Poor: 0, Poor %: 0.00%
ANGLING ROAD: Total: 1, Poor: 0, Poor %: 0.00%
BLOOD ROAD: Total: 1, Poor: 0, Poor %: 0.00%
NIAG-ORL CO LN RD: Total: 1, Poor: 0, Poor %: 0.00%
MATTISON RD: Total: 1, Poor: 0, Poor %: 0.00%
BOYLSTON ROAD: Total: 1, Poor: 0, Poor %: 0.00%
49  49 34012146: Total: 1, Poor: 0, Poor %: 0.00%
49  49 34012229: Total: 1, Poor: 0, Poor %: 0.00%
CR23A UNION STLMT: Total: 1, Poor: 0, Poor %: 0.00%
GRANNIS ROAD: Total: 1, Poor: 1, Poor %: 100.00%
HOLLEY HOLE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
3   3 34012012: Total: 1, Poor: 0, Poor %: 0.00%
NORTH SIXTH ST: Total: 1, Poor: 0, Poor %: 0.00%
PHILLIPS STREET: Total: 1, Poor: 0, Poor %: 0.00%
48  48 34021029: Total: 1, Poor: 0, Poor %: 0.00%
48  48 34023012: Total: 1, Poor: 1, Poor %: 100.00%
JACKSONVILLE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
LEY CREEK ROAD: Total: 1, Poor: 0, Poor %: 0.00%
OLD STATE RTE 48: Total: 1, Poor: 0, Poor %: 0.00%
PENDERGAST ROAD: Total: 1, Poor: 0, Poor %: 0.00%
SOUTH GRANBY ROAD: Total: 1, Poor: 1, Poor %: 100.00%
3   3 34011100: Total: 1, Poor: 0, Poor %: 0.00%
34  34 34061012: Total: 1, Poor: 0, Poor %: 0.00%
BLYTHE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
BRACKETT ROAD: Total: 1, Poor: 1, Poor %: 100.00%
CR85 CUNNINGHAM R: Total: 1, Poor: 1, Poor %: 100.00%
PARSONS ROAD: Total: 1, Poor: 0, Poor %: 0.00%
PEAT BED ROAD: Total: 1, Poor: 0, Poor %: 0.00%
SIXTY-SIX ROAD: Total: 1, Poor: 0, Poor %: 0.00%
TOWN GARAGE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
WILTSIEVILLE RD: Total: 1, Poor: 0, Poor %: 0.00%
3   3 34011118: Total: 1, Poor: 0, Poor %: 0.00%
OSWEGO STREET: Total: 1, Poor: 0, Poor %: 0.00%
11  11 34041024: Total: 1, Poor: 0, Poor %: 0.00%
49  49 34012108: Total: 1, Poor: 0, Poor %: 0.00%
49  49 34012152: Total: 1, Poor: 0, Poor %: 0.00%
CARLEY MILLS RD: Total: 1, Poor: 0, Poor %: 0.00%
County Road 38: Total: 1, Poor: 0, Poor %: 0.00%
NELLIS DRIVE: Total: 1, Poor: 0, Poor %: 0.00%
ACADEMY STREET: Total: 1, Poor: 0, Poor %: 0.00%
POWERS AVENUE: Total: 1, Poor: 1, Poor %: 100.00%
104 104 34063133: Total: 1, Poor: 0, Poor %: 0.00%
104B104B34011049: Total: 1, Poor: 0, Poor %: 0.00%
104B104B34011055: Total: 1, Poor: 0, Poor %: 0.00%
11  11 34041114: Total: 1, Poor: 0, Poor %: 0.00%
11  11 34041132: Total: 1, Poor: 0, Poor %: 0.00%
3   3 34013182: Total: 1, Poor: 0, Poor %: 0.00%
69  69 34011045: Total: 1, Poor: 1, Poor %: 100.00%
69  69 34011056: Total: 1, Poor: 0, Poor %: 0.00%
COUNTRYMAN ROAD: Total: 1, Poor: 0, Poor %: 0.00%
CR41 Mexico Rd: Total: 1, Poor: 0, Poor %: 0.00%
FORT LEAZIER ROAD: Total: 1, Poor: 0, Poor %: 0.00%
HALLADAY ROAD: Total: 1, Poor: 0, Poor %: 0.00%
KRANZ ROAD: Total: 1, Poor: 0, Poor %: 0.00%
MINCLER ROAD: Total: 1, Poor: 0, Poor %: 0.00%
MUNGER HILL ROAD: Total: 1, Poor: 1, Poor %: 100.00%
PARISH WOODS ROAD: Total: 1, Poor: 0, Poor %: 0.00%
TEXAS RD: Total: 1, Poor: 0, Poor %: 0.00%
TUBBS ROAD: Total: 1, Poor: 0, Poor %: 0.00%
104 104 34063128: Total: 1, Poor: 0, Poor %: 0.00%
3   3 34011057: Total: 1, Poor: 0, Poor %: 0.00%
CR16 TEXAS ROAD: Total: 1, Poor: 0, Poor %: 0.00%
MINETTO BRIDGE RD: Total: 1, Poor: 0, Poor %: 0.00%
104 104 34063076: Total: 1, Poor: 0, Poor %: 0.00%
104B104B34011004: Total: 1, Poor: 0, Poor %: 0.00%
104B104B34011028: Total: 1, Poor: 0, Poor %: 0.00%
HURLBUT ROAD: Total: 1, Poor: 0, Poor %: 0.00%
NORTH VOLNEY ROAD: Total: 1, Poor: 0, Poor %: 0.00%
SOPER MILLS ROAD: Total: 1, Poor: 1, Poor %: 100.00%
VOLNEY ROAD: Total: 1, Poor: 0, Poor %: 0.00%
104  104 34062015: Total: 1, Poor: 0, Poor %: 0.00%
104 104 34062027: Total: 1, Poor: 0, Poor %: 0.00%
E 2ND + E ONEIDA: Total: 1, Poor: 1, Poor %: 100.00%
E ALBANY STREET: Total: 1, Poor: 0, Poor %: 0.00%
E SCHUYLER STREET: Total: 1, Poor: 1, Poor %: 100.00%
E SENECA STREET: Total: 1, Poor: 0, Poor %: 0.00%
MITCHELL STREET: Total: 1, Poor: 0, Poor %: 0.00%
104 104 34061071: Total: 1, Poor: 0, Poor %: 0.00%
104 104 34061113: Total: 1, Poor: 0, Poor %: 0.00%
104A104A34031005: Total: 1, Poor: 0, Poor %: 0.00%
104A104A34031013: Total: 1, Poor: 0, Poor %: 0.00%
HALL RD: Total: 1, Poor: 1, Poor %: 100.00%
THOMPSON RD: Total: 1, Poor: 1, Poor %: 100.00%
3   3 34013092: Total: 1, Poor: 0, Poor %: 0.00%
COUNTY ROAD 4/ Hall Road: Total: 1, Poor: 0, Poor %: 0.00%
VERMILLION ROAD: Total: 1, Poor: 0, Poor %: 0.00%
104 126 34011001: Total: 1, Poor: 0, Poor %: 0.00%
69A 69A34011001: Total: 1, Poor: 0, Poor %: 0.00%
CR26 N CAMDEN RD: Total: 1, Poor: 1, Poor %: 100.00%
CRIM ROAD: Total: 1, Poor: 0, Poor %: 0.00%
69  69 34011074: Total: 1, Poor: 0, Poor %: 0.00%
CULVERT STREET: Total: 1, Poor: 0, Poor %: 0.00%
11  11 34041229: Total: 1, Poor: 0, Poor %: 0.00%
13  13 34071176: Total: 1, Poor: 0, Poor %: 0.00%
RICHLAND ROAD: Total: 1, Poor: 0, Poor %: 0.00%
SO JEFFERSON ST: Total: 1, Poor: 0, Poor %: 0.00%
ABES DRIVE: Total: 1, Poor: 0, Poor %: 0.00%
CASTER DRIVE: Total: 1, Poor: 0, Poor %: 0.00%
CR17PANTHER LK RD: Total: 1, Poor: 0, Poor %: 0.00%
CR47 N OSCEOLA RD: Total: 1, Poor: 0, Poor %: 0.00%
HARVESTER MILL RD: Total: 1, Poor: 0, Poor %: 0.00%
NO.OSCEOLA ROAD: Total: 1, Poor: 1, Poor %: 100.00%
3   3 34013205: Total: 1, Poor: 0, Poor %: 0.00%
3   3 34013217: Total: 1, Poor: 0, Poor %: 0.00%
3   3 34013233: Total: 1, Poor: 0, Poor %: 0.00%
3   3 34013252: Total: 1, Poor: 0, Poor %: 0.00%
COUNTY ROAD 41A: Total: 1, Poor: 0, Poor %: 0.00%
CR 41: Total: 1, Poor: 0, Poor %: 0.00%
LEHIGH ROAD: Total: 1, Poor: 0, Poor %: 0.00%
RICHLAND-ORWELL ROAD: Total: 1, Poor: 1, Poor %: 100.00%
SALISBURY ROAD: Total: 1, Poor: 1, Poor %: 100.00%
3   3 34013284: Total: 1, Poor: 0, Poor %: 0.00%
3   3 34013297: Total: 1, Poor: 0, Poor %: 0.00%
3   3 34013317: Total: 1, Poor: 0, Poor %: 0.00%
HENDERSON ROAD: Total: 1, Poor: 1, Poor %: 100.00%
NORTH STREET RD: Total: 1, Poor: 0, Poor %: 0.00%
11  11 34041288: Total: 1, Poor: 0, Poor %: 0.00%
SALISBURY ST: Total: 1, Poor: 0, Poor %: 0.00%
264 264 34011015: Total: 1, Poor: 0, Poor %: 0.00%
264 264 34011047: Total: 1, Poor: 0, Poor %: 0.00%
264 34011028: Total: 1, Poor: 0, Poor %: 0.00%
BANKRUPT ROAD: Total: 1, Poor: 0, Poor %: 0.00%
BIDDLECUM ROAD: Total: 1, Poor: 0, Poor %: 0.00%
CO RD 57A: Total: 1, Poor: 0, Poor %: 0.00%
CR12 PHOENIX ROAD: Total: 1, Poor: 0, Poor %: 0.00%
CR54-PENNELVLE RD: Total: 1, Poor: 0, Poor %: 0.00%
PENNELLVILLE RD: Total: 1, Poor: 0, Poor %: 0.00%
PHOENIX ROAD: Total: 1, Poor: 0, Poor %: 0.00%
PRIOR ROAD: Total: 1, Poor: 0, Poor %: 0.00%
481  57 34023020: Total: 1, Poor: 0, Poor %: 0.00%
OWEN ROAD: Total: 1, Poor: 0, Poor %: 0.00%
SUCKERVILLE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
WHITAKER ROAD: Total: 1, Poor: 0, Poor %: 0.00%
49  49 34012171: Total: 1, Poor: 0, Poor %: 0.00%
CR11 W MONROE RD: Total: 1, Poor: 0, Poor %: 0.00%
CR37 MUD STLMT RD: Total: 1, Poor: 0, Poor %: 0.00%
13  13 34071011: Total: 1, Poor: 0, Poor %: 0.00%
13  13 34071019: Total: 1, Poor: 0, Poor %: 0.00%
3  3 34012012: Total: 1, Poor: 0, Poor %: 0.00%
81I 81I34041140: Total: 1, Poor: 0, Poor %: 0.00%
81I 81I34041143: Total: 1, Poor: 0, Poor %: 0.00%
51  51 94021280: Total: 1, Poor: 0, Poor %: 0.00%
51  51 94021302: Total: 1, Poor: 0, Poor %: 0.00%
80  80 94041102: Total: 1, Poor: 0, Poor %: 0.00%
80  80 94041145: Total: 1, Poor: 0, Poor %: 0.00%
51  51 94021024: Total: 1, Poor: 0, Poor %: 0.00%
51  51 94021069: Total: 1, Poor: 0, Poor %: 0.00%
CLARENCE MUSSON R: Total: 1, Poor: 0, Poor %: 0.00%
COUNTY ROUTE 4: Total: 1, Poor: 0, Poor %: 0.00%
CR 8TY ROAD 8: Total: 1, Poor: 1, Poor %: 100.00%
LATHAM CORNERS RD: Total: 1, Poor: 0, Poor %: 0.00%
166 166 94011185: Total: 1, Poor: 0, Poor %: 0.00%
